Year of Manufacture,Car Make,Car Full Title,Cash Price (USD),Exterior,Interior,Mileage,Fuel Type,MPG,Transmission,Drivetrain,Engine,Location,Listed Since,VIN,Stock Number,Features,Financing Support,Price Category,City MPG,Highway MPG,Price Segment,Top Exterior Color,State,Top State,Listed Days,Cluster,Expected_Days_To_Sell,Probability_Sold_30Days,Total_Expected_Days
2021,Ford,2021 Ford F-150 King Ranch Supercrew 5.5' Box 4Wd,41500,Oxford White,Java,11824,Gas,16 city / 22 highway,Automatic Transmission,4Wd,3.5L V-6 Gas V,"Houston, Tx",6 days ago,1FTFW1E83MFC91206,E22094C,,Yes,Premium (30K-60K),16.0,22.0,Premium,Oxford White,texas,texas,6.0,0,37.81647965553451,0.3624230481115629,43.81647965553451
2023,Ford,2023 Ford F-150 Xlt Supercrew 5.5' Box 4Wd,34998,Black,Tan,34722,Gas,19 city / 22 highway,Automatic Transmission,4Wd,3.5L V-6 Gas V,"Kenosha, Wi",3 days ago,1FTFW1E83PFA36317,27059077,4WD/AWD; Turbo Charged Engine; Satellite Radio Ready; Parking Sensors; Rear View Camera; Alloy Wheels; Auxiliary Audio Input; Overhead Airbags; Traction Control; Side Airbags; AM/FM Stereo; Power Mirrors; Cloth Seats; Cruise Control; Rear Defroster; Air Conditioning; Power Windows; Power Locks; Sync System; ABS Brakes; Automatic Transmission; Android Auto; Lane Departure Warning; Blind Spot Monitor; Bluetooth Technology; Apple CarPlay; Power Seat(s); Fog Lamps; WiFi Hotspot; Daytime Running Lights; Automatic Highbeams; See less,No,Premium (30K-60K),19.0,22.0,Premium,Black,wisconsin,Unmatched,3.0,0,38.75780566348292,0.3966406861872692,41.75780566348292
2021,Ford,2021 Ford F-150 Xl Supercrew 6.5' Box 4Wd,20500,Oxford White,Black,119929,Gas,16 city / 22 highway,Automatic Transmission,4Wd,3.5L V-6 Gas V,"Morgan, Ut",73 days ago,1FTFW1E87MFB94316,11N1603AA,"Engine: 3.5L V6 Ecoboost; Electronic Locking with 3.55 Axle Ratio; Color Coordinated Carpet with Carpeted Floor Mats; Trailer Tow Package; STX Appearance Package; Tailgate Step with Tailgate Work Surface; 20"" 6 Spoke Machined Aluminum Wheels; Extended Range 36 Gallon Fuel Tank; Black, Unique Sport Cloth 40/Console/40 Front Seats; Equipment Group 101A High; See less; Wheel Type; Apple CarPlay; Android Auto; Remote Engine Start; Lane Keep Assist; See all features; Equipment Group 101A High; STX Appearance Package; Trailer Tow Package; Radio data system; Air Conditioning; See all features",Yes,Mid-range (15K-30K),16.0,22.0,Mid-range,Oxford White,utah,Unmatched,73.0,1,28.036232900657016,0.2004111831711894,101.036232900657
2023,Ford,2023 Ford F-150 Limited Supercrew 5.5' Box 4Wd,59997,Star White Metallic Tri-Coat,Admiral Blue,8476,Hybrid,23 city / 23 highway,Automatic Transmission,4Wd,,"Boise, Id",51 days ago,1FTFW1ED8PFC93907,325041,Active Park Assist 2.0 Removal; Active Park Assist 2.0 Removal; Equipment Group 900A Standard; Wheel Type; Moonroof; Premium Audio; Navigation; Seat Material; Front Heated Seats; Front Cooled Seats; Remote Engine Start; Climate Control; Cruise Control; Blind Spot System; Lane Keep Assist; Backup Camera; Parking Sensors; Bluetooth; Tow Hitch; See less; Navigation System; Navigation system: Connected Navigation; GVWR: 7; 050 lbs Payload Package; 18 Speakers; See all features,Yes,Premium (30K-60K),23.0,23.0,Premium,Other,idaho,Unmatched,51.0,0,5.1,0.6424914186936689,56.1
2023,Ford,2023 Ford F-150 Xlt Supercrew 5.5' Box 4Wd,33216,Stone Gray Metallic,Black,48883,Gas,19 city / 22 highway,Automatic Transmission,4Wd,3.5L V-6 Gas V,"Midland, Tx",32 days ago,1FTFW1E87PFA23571,PFA23571P,6 Speakers; AM/FM radio; Radio data system; Radio: AM/FM Stereo w/6 Speakers; Air Conditioning; Rear window defroster; Power steering; Power windows; Remote keyless entry; Steering wheel mounted audio controls; Speed-sensing steering; Traction control; 4-Wheel Disc Brakes; ABS brakes; Dual front impact airbags; Dual front side impact airbags; Emergency communication system: SYNC 4 911 Assist; Front anti-roll bar; Front wheel independent suspension; Low tire pressure warning; Occupant sensing airbag; Overhead airbag; Brake assist; Electronic Stability Control; Exterior Parking Camera Rear; Auto High-beam Headlights; Delay-off headlights; Front fog lights; Fully automatic headlights; Panic alarm; Security system; Speed control; Bumpers: chrome; Heated door mirrors; Power door mirrors; Rear step bumper; Compass; Driver door bin; Driver vanity mirror; Front reading lights; Illuminated entry; Outside temperature display; Overhead console; Passenger vanity mirror; Rear reading lights; SYNC 4; Tachometer; Telescoping steering wheel; Tilt steering wheel; Trip computer; Voltmeter; Cloth 40/20/40 Front Seat; Split folding rear seat; Front Center Armrest w/Storage; Passenger door bin; Alloy wheels; Wheels: 17'' Silver Painted Aluminum; Variably intermittent wipers; See less,Yes,Premium (30K-60K),19.0,22.0,Premium,Other,texas,texas,32.0,0,12.977623896856327,0.3062648576321622,44.97762389685633
2023,Ford,2023 Ford F-150 Xlt Supercrew 5.5' Box 4Wd,34998,Black,Tan,31172,Gas,19 city / 22 highway,Automatic Transmission,4Wd,3.5L V-6 Gas V,"Dothan, Al",13 days ago,1FTFW1E87PFA34473,26479841,4WD/AWD; Turbo Charged Engine; Satellite Radio Ready; Parking Sensors; Rear View Camera; Bed Liner; Alloy Wheels; Auxiliary Audio Input; Overhead Airbags; Traction Control; Side Airbags; AM/FM Stereo; Power Mirrors; Cloth Seats; Cruise Control; Rear Defroster; Air Conditioning; Power Windows; Power Locks; Sync System; ABS Brakes; Automatic Transmission; Android Auto; Bluetooth Technology; Apple CarPlay; Lane Departure Warning; Blind Spot Monitor; Fog Lamps; WiFi Hotspot; Daytime Running Lights; Automatic Highbeams; See less,No,Premium (30K-60K),19.0,22.0,Premium,Black,alabama,Unmatched,13.0,0,34.78978286919574,0.3515696011591652,47.78978286919574
2021,Ford,2021 Ford F-150 Xlt Supercrew 5.5' Box 4Wd,29995,Agate Black Metallic,Black W/Medium Dark Slate,31469,Gas,19 city / 22 highway,Automatic Transmission,4Wd,3.5L V-6 Gas V,"Chicago, Il",43 days ago,1FTFW1E89MFA65350,10322,"Engine: 3.5L V6 Ecoboost; Electronic Locking with 3.55 Axle Ratio; Ford Co Pilot360 Assist 2.0; Power Sliding Rear Window; Interior Work Surface; Trailer Tow Package; Boxlink; Tailgate Step with Tailgate Work Surface; Extended Range 36 Gallon Fuel Tank; 360 Degree Camera; Black/Medium Dark Slate, Cloth 40/Console/40 Front Seats; Equipment Group 302A High; See less; Wheel Type; Navigation; Apple CarPlay; Android Auto; Front Heated Seats; See all features; Backup Camera; Cloth Seats; Daytime Running Lights; Touch Screen Audio; Bluetooth; See all features",Yes,Mid-range (15K-30K),19.0,22.0,Mid-range,Other,illinois,Unmatched,43.0,0,10.95,0.5048815529627297,53.95
2021,Ford,2021 Ford F-150 Xlt Supercrew 5.5' Box 4Wd,23998,Black,Black,121777,Gas,19 city / 22 highway,Automatic Transmission,4Wd,3.5L V-6 Gas V,"Memphis, Tn",268 days ago,1FTFW1E89MFB31170,B31170,Tilt & Telescoping Wheel; Reverse Sensing System; Side Air Bags; FordPass Connect; ABS (4-Wheel); AM/FM Stereo; Hill Start Assist Control; XLT Chrome Appearance Pkg; Alarm System; Power Steering; Cruise Control; Towing Pkg; Blind-Spot Information System; Ford Co-Pilot360 Assist; Power Windows; SYNC; F&R Head Curtain Air Bags; Keyless Entry; Dual Air Bags; Daytime Running Lights; AdvanceTrac; Automatic 10-Spd w/Sport Mode; Lane Keeping System; 4WD; Air Conditioning; Power Door Locks; Alloy Wheels; Backup Camera; Traction Control; Fog Lights; V6 EcoBoost Twin Turbo 3.5 Liter; See less,No,Mid-range (15K-30K),19.0,22.0,Mid-range,Black,tennessee,Unmatched,268.0,4,10.2,0.2091230742723129,278.2
2023,Ford,2023 Ford F-150 Xlt Supercrew 5.5' Box 4Wd,32988,Stone Gray Metallic,Black/Slate Gray,41406,Gas,19 city / 22 highway,Automatic Transmission,4Wd,3.5L V-6 Gas V,"West Jefferson, Nc",90 days ago,1FTFW1E89PFB46210,724J,6 Speakers; AM/FM radio; Radio data system; Radio: AM/FM Stereo w/6 Speakers; Air Conditioning; Rear window defroster; Power steering; Power windows; Remote keyless entry; Steering wheel mounted audio controls; Speed-sensing steering; Traction control; 4-Wheel Disc Brakes; ABS brakes; Dual front impact airbags; Dual front side impact airbags; Emergency communication system: SYNC 4 911 Assist; Front anti-roll bar; Front wheel independent suspension; Low tire pressure warning; Occupant sensing airbag; Overhead airbag; Brake assist; Electronic Stability Control; Exterior Parking Camera Rear; Auto High-beam Headlights; Delay-off headlights; Front fog lights; Fully automatic headlights; Panic alarm; Security system; Speed control; Bumpers: chrome; Heated door mirrors; Power door mirrors; Rear step bumper; Compass; Driver door bin; Driver vanity mirror; Front reading lights; Illuminated entry; Outside temperature display; Overhead console; Passenger vanity mirror; Rear reading lights; SYNC 4; Tachometer; Telescoping steering wheel; Tilt steering wheel; Trip computer; Voltmeter; Cloth 40/20/40 Front Seat; Split folding rear seat; Front Center Armrest w/Storage; Passenger door bin; Alloy wheels; Wheels: 17'' Silver Painted Aluminum; Variably intermittent wipers; **4 WHEEL DISC BRAKES; **4WD; **ABS BRAKES; **AUTOMATIC HEADLIGHTS; **BLUETOOTH; **CLIMATE CONTROL; **LEATHER; **POWER LOCKS; **POWER SEAT; **POWER WINDOWS; **REAR BACK-UP CAMERA; **REMOTE KEYLESS ENTRY; **STEERING WHEEL MOUNTED AUDIO CONTROLS; **TRACTION CONTROL; **XM SATELLITE RADIO; See less,Yes,Premium (30K-60K),19.0,22.0,Premium,Other,north carolina,Unmatched,90.0,0,12.6,0.3861871012298523,102.6
2021,Ford,2021 Ford F-150 Limited Supercrew 5.5' Box 4Wd,44499,Agate Black Metallic,Admiral Blue,67141,Hybrid,18 city / 23 highway,Automatic Transmission,4Wd,,"O'Fallon, Il",18 days ago,1FTFW1ED0MFC52019,22587FRCZ,Tough Bed Spray In Bedliner; Equipment Group 900A Standard; Wheel Type; Moonroof; Power Trunk/Liftgate; Premium Audio; Navigation; Apple CarPlay; Android Auto; Seat Material; Front Heated Seats; Front Cooled Seats; Remote Engine Start; Climate Control; Cruise Control; Blind Spot System; Lane Keep Assist; Backup Camera; Parking Sensors; Bluetooth; Tow Hitch; See less; Navigation system: Connected Navigation (90-Day Trial); Equipment Group 900A Standard; GVWR: 7; 050 lbs Payload Package; 18 Speakers; See all features,Yes,Premium (30K-60K),18.0,23.0,Premium,Other,illinois,Unmatched,18.0,0,13.5210051013589,0.6717907947243864,31.5210051013589
2023,Ford,2023 Ford F-150 Xlt Supercrew 6.5' Box 4Wd,39964,Oxford White,Black W/Medium Dark Slate,29303,Hybrid,16 city / 22 highway,Automatic Transmission,4Wd,,"Albuquerque, Nm",59 days ago,1FTFW1ED2PFA84372,P7726,FX4 Off Road Package; Wheel Type; Apple CarPlay; Android Auto; Remote Engine Start; Blind Spot System; Lane Keep Assist; Backup Camera; Parking Sensors; Bluetooth; See less; Equipment Group 301A Mid; FX4 Off-Road Package; 6 Speakers; AM/FM radio; Radio data system; See all features,Yes,Premium (30K-60K),16.0,22.0,Premium,Oxford White,new mexico,Unmatched,59.0,0,16.5,0.4490470632880742,75.5
2022,Ford,2022 Ford F-150 Platinum Supercrew 6.5' Box 4Wd,42999,Agate Black Metallic,Black,69380,Hybrid,16 city / 22 highway,Automatic Transmission,4Wd,,"Akron, Oh",11 days ago,1FTFW1ED3NFB17926,B17926C01,Retractable Tonneau Pickup Box Cover; Tow Technology Package; Active Park Assist 2.0 Removal; Equipment Group 701A High; Wheel Type; Premium Audio; Navigation; Apple CarPlay; Android Auto; Seat Material; Front Heated Seats; Front Cooled Seats; Remote Engine Start; Climate Control; Cruise Control; Blind Spot System; Lane Keep Assist; Backup Camera; Parking Sensors; Bluetooth; Tow Hitch; See less; Navigation System; Bed Utility Package; Equipment Group 701A High; Ford Co-Pilot360 Active 2.0; FX4 Off-Road Package; See all features,Yes,Premium (30K-60K),16.0,22.0,Premium,Other,ohio,Unmatched,11.0,0,19.31877028271743,0.5230668136301724,30.31877028271743
2021,Ford,2021 Ford F-150 Xlt Supercrew 5.5' Box 4Wd,27994,Antimatter Blue Metallic,Black/Medium Dark Slate,47953,Hybrid,19 city / 22 highway,Automatic Transmission,4Wd,,"Tampa, Fl",51 days ago,1FTFW1EDXMFA17515,1008,Trailer Tow Package; XLT Chrome Appearance Package; 6 Speakers; AM/FM radio; Radio data system; Radio: AM/FM Stereo w/6 Speakers; Air Conditioning; Rear window defroster; Power steering; Power windows; Remote keyless entry; Steering wheel mounted audio controls; Speed-sensing steering; Traction control; 4-Wheel Disc Brakes; ABS brakes; Dual front impact airbags; Dual front side impact airbags; Emergency communication system: SYNC 4 911 Assist; Front anti-roll bar; Front wheel independent suspension; Low tire pressure warning; Occupant sensing airbag; Overhead airbag; Brake assist; Electronic Stability Control; Exterior Parking Camera Rear; Auto High-beam Headlights; Delay-off headlights; Front fog lights; Fully automatic headlights; Panic alarm; Security system; Speed control; 2-Bar Style Grille w/Chrome 2 Minor Bars; Bumpers: chrome; Chrome Door & Tailgate Handles w/Body-Color Bezel; Chrome Single-Tip Exhaust; Chrome Step Bars; Heated door mirrors; Power door mirrors; Rear step bumper; Compass; Driver door bin; Driver vanity mirror; Front reading lights; Illuminated entry; Outside temperature display; Overhead console; Passenger vanity mirror; Rear reading lights; SYNC 4; Tachometer; Telescoping steering wheel; Tilt steering wheel; Trip computer; Voltmeter; Cloth 40/20/40 Front Seat; Split folding rear seat; Front Center Armrest w/Storage; Passenger door bin; Class IV Trailer Hitch Receiver; Integrated Trailer Brake Controller; Pro Trailer Backup Assist; Alloy wheels; Wheels: 17'' Silver Painted Aluminum; Wheels: 18'' Chrome-Like PVD; Variably intermittent wipers; Electronic Locking w/3.73 Axle Ratio; See less,Yes,Mid-range (15K-30K),19.0,22.0,Mid-range,Other,florida,florida,51.0,0,12.6,0.500606850843869,63.6
2011,Ford,2011 Ford F-150 Platinum Supercrew 5.5' Box 4Wd,10000,White,Black,195145,Gas,14 city / 19 highway,Automatic Transmission,4Wd,5.0L V-8 Gas V,"Marietta, Ga",45 days ago,1FTFW1EF0BFB72864,12109,Pickup Bed Light; Running Boards - Power Retractable; Tailgate - Removable; Body Side Moldings - Chrome; Door Handle Color - Body-Color With Chrome Accents; Exhaust Tip Color - Chrome; Fender Lip Moldings - Body-Color; Front Bumper Color - Body-Color; Grille Color - Chrome; Grille Color - Chrome Surround; Mirror Color - Chrome; Rear Bumper Color - Body-Color; Armrests - Rear Center Folding With Storage; Center Console Trim - Alloy; Center Console Trim - Leather; Dash Trim - Simulated Alloy; Door Sill Trim - Scuff Plate; Door Trim - Leather; Door Trim - Simulated Wood; Floor Mat Material - Carpet; Floor Material - Carpet; Floor Mats - Front; Floor Mats - Rear; Front Air Conditioning - Automatic Climate Control; Front Air Conditioning Zones - Dual; Shift Knob Trim - Chrome; Shift Knob Trim - Leather; Steering Wheel Trim - Leather; Steering Wheel Trim - Wood; Adjustable Pedals - Power; Ambient Lighting; Ashtray; Capless Fuel Filler System; Center Console - Front Console With Storage; Cruise Control; Cupholders - Front; Cupholders - Rear; Keypad Entry; Lighter Element; Memorized Settings - 2 Driver; Memorized Settings - Adjustable Pedals; Memorized Settings - Driver Seat; Memorized Settings - Side Mirrors; Memorized Settings - Steering Wheel; Multi-Function Remote - Keyless Entry; One-Touch Windows - 1; Overhead Console - Front; Power Outlet(S) - 115v; Power Outlet(S) - 12v Front; Power Outlet(S) - 12v Rear; Power Steering; Reading Lights - Front; Reading Lights - Rear; Rearview Mirror - Auto-Dimming; Remote Engine Start; Steering Wheel - Power Tilt And Telescopic; Steering Wheel Mounted Controls - Audio; Steering Wheel Mounted Controls - Cruise Control; Storage - Cargo Tie-Down Anchors And Hooks; Storage - Door Pockets; Storage - Front Seatback; Universal Remote Transmitter - Garage Door Opener; Vanity Mirrors - Dual Illuminating; 4wd Selector - Electronic Hi-Lo; Front Brake Type - Ventilated Disc; Front Shock Type - Gas; Front Spring Type - Coil; Front Struts; Front Suspension Type - Short And Long Arm; Rear Brake Type - Ventilated Disc; Rear Shock Type - Gas; Rear Spring Type - Leaf; Trailer Stability Control; 4wd Type - Part Time; Abs - 4-Wheel; Axle Ratio - 3.55; Electronic Brakeforce Distribution; Front Brake Diameter - 13.8; Front Brake Width - 1.34; Front Stabilizer Bar; Front Suspension Classification - Independent; Rear Brake Diameter - 13.7; Rear Brake Width - 0.79; Rear Suspension Classification - Solid Live Axle; Rear Suspension Type - Multi-Leaf; Roll Stability Control; Stability Control; Tow Hooks - Front; Traction Control; Trailer Brake Controller; Trailer Hitch; Trailer Wiring; Battery - Maintenance-Free; Battery Rating - 750 Cca; Gauge - Tachometer; In-Dash Cd - Mp3 Playback; Infotainment - Sync; Infotainment Screen Size - 4.2 In.; Wireless Data Link - Bluetooth; Antenna Type - Mast; See less,No,Affordable (5K-15K),14.0,19.0,Affordable,White,georgia,Unmatched,45.0,3,8.85,0.4031787801097271,53.85
2014,Ford,2014 Ford F-150 Xlt Supercrew 6.5' Box 4Wd,11999,White,Gray,134196,Gas,14 city / 19 highway,Automatic Transmission,4Wd,5.0L V-8 Gas V,"North Chelmsford, Ma",59 days ago,1FTFW1EF0EKF64626,,Door Handle Color - Black; Front Bumper Color - Chrome; Grille Color - Chrome; Grille Color - Chrome Surround; Mirror Color - Black; Rear Bumper Color - Chrome; Pickup Bed Light; Tailgate - Removable; Steering Ratio - 20; Door Sill Trim - Scuff Plate; Floor Mat Material - Carpet; Floor Material - Carpet; Floor Mats - Front; Front Air Conditioning; Front Air Conditioning Zones - Single; Floor Mats - Rear; Ashtray; Capless Fuel Filler System; Cruise Control; Cupholders - Front; Cupholders - Rear; Lighter Element; Multi-Function Remote - Keyless Entry; Power Steering; Steering Wheel Mounted Controls - Phone; Storage - Cargo Tie-Down Anchors And Hooks; Storage - Door Pockets; Storage - Front Seatback; Power Outlet(S) - 12v Front; Power Outlet(S) - 12v Rear; Vanity Mirrors - Dual; Keypad Entry; Overhead Console - Front; Steering Wheel - Tilt; Steering Wheel Mounted Controls - Cruise Control; Reading Lights - Front; Reading Lights - Rear; One-Touch Windows - 1; Steering Wheel Mounted Controls - Voice Control; 4wd Type - Part Time; Abs - 4-Wheel; Axle Ratio - 3.55; Electronic Brakeforce Distribution; Front Brake Diameter - 13.8; Front Brake Width - 1.34; Front Stabilizer Bar; Front Suspension Classification - Independent; Rear Brake Diameter - 13.7; Rear Brake Width - 0.79; Rear Suspension Classification - Solid Live Axle; Rear Suspension Type - Multi-Leaf; Roll Stability Control; Stability Control; Traction Control; Hill Holder Control; Front Shock Type - Gas; Front Spring Type - Coil; Rear Shock Type - Gas; Rear Spring Type - Leaf; Front Struts; Front Suspension Type - Short And Long Arm; Front Brake Type - Ventilated Disc; Rear Brake Type - Ventilated Disc; 4wd Selector - Electronic Hi-Lo; Trailer Stability Control; Battery - Maintenance-Free; Battery Rating - 750 Cca; Antenna Type - Mast; Auxiliary Audio Input - Jack; Clock; Compass; External Temperature Display; In-Dash Cd - Single Disc; Radio - Am/Fm; Radio Data System; Speed Sensitive Volume Control; Warnings And Reminders - Low Fuel Level; Warnings And Reminders - Low Oil Level; Auxiliary Audio Input - Bluetooth; Wireless Data Link - Bluetooth; In-Dash Cd - Mp3 Playback; Gauge - Tachometer; Infotainment - Sync; Radio - Voice Operated; Warnings And Reminders - Maintenance Due; Front Fog Lights; Headlights - Auto Delay Off; Headlights - Auto On; Headlights - Halogen; Tire Pressure Monitoring System; Wheel Locks - Spare Only; Spare Tire Mount Location - Underbody; Spare Tire Size - Full-Size; Spare Wheel Type - Steel; Tire Type - All Terrain; Wheels - Aluminum Alloy With Painted Accents; Front Wipers - Intermittent; Power Windows; Rear Privacy Glass; Tinted Glass; See less,No,Affordable (5K-15K),14.0,19.0,Affordable,White,massachusetts,Unmatched,59.0,3,20.758769277856835,0.3112456249455696,79.75876927785683
2013,Ford,2013 Ford F-150 Xlt Supercrew 6.5' Box 4Wd,8401,Oxford White,Steel Gray,176892,Gas,14 city / 19 highway,Automatic Transmission,4Wd,5.0L V-8 Gas V,"St. Charles, Il",27 days ago,1FTFW1EF3DFB48190,SC240723C,Wheel Type; Bluetooth; Four Wheel Drive; Tow Hooks; Power Steering; 4-Wheel Disc Brakes; Tires - Front All-Terrain; Tires - Rear All-Terrain; Aluminum Wheels; Conventional Spare Tire; Automatic Headlights; Fog Lamps; Power Mirror(s); Privacy Glass; Intermittent Wipers; Variable Speed Intermittent Wipers; Third Passenger Door; Fourth Passenger Door; AM/FM Stereo; CD Player; MP3 Capability; Steering Wheel Audio Controls; Bluetooth Connection; Telematics; Auxiliary Audio Input; Smart Device Integration; Requires Subscription; Cloth Seats; Split Bench Seat; Driver Adjustable Lumbar; Pass-Through Rear Seat; Rear Bench Seat; Floor Mats; Adjustable Steering Wheel; Power Windows; Power Door Locks; Security System; Keyless Entry; Power Door Locks; Keyless Entry; Power Door Locks; Cruise Control; Immobilizer; A/C; Power Outlet; Power Outlet; Driver Vanity Mirror; Passenger Vanity Mirror; ABS; Traction Control; Stability Control; Driver Air Bag; Passenger Air Bag; Front Side Air Bag; Front Head Air Bag; Rear Head Air Bag; Driver Restriction Features; Tire Pressure Monitor; See less,No,Affordable (5K-15K),14.0,19.0,Affordable,Oxford White,illinois,Unmatched,27.0,3,51.27506478932118,0.282945635990703,78.27506478932118
2013,Ford,2013 Ford F-150 Limited Supercrew 5.5' Box 4Wd,11999,White,Gray,131235,Gas,14 city / 19 highway,Automatic Transmission,4Wd,3.5L V-6 Gas V,"Chantilly, Va",27 days ago,1FTFW1ET9DFD46696,OSD46696,HID Headlamps; Leather; 4WD; Alloy Wheels; Navigation System; Moon Roof; V6 EcoBoost Twin Turbo 3.5 Liter; Fog Lights; Bluetooth Wireless; Automatic 6-Spd; Towing Pkg; See less,No,Affordable (5K-15K),14.0,19.0,Affordable,White,virginia,virginia,27.0,3,30.59191255255855,0.3739118713934246,57.59191255255856
2018,Ford,2018 Ford F-150 Raptor Supercrew 5.5' Box 4Wd,41996,Lead Foot,Black,78776,Gas,15 city / 18 highway,Automatic Transmission,4Wd,3.5L V-6 Gas V,"Hazard, Ky",28 days ago,1FTFW1RG1JFC96658,12477,Smoker'S Pack with Ash Coin Cup (Dealer Installed); Twin Panel Moonroof; Raptor Exterior Graphics Package; Tailgate Step with Tailgate Lift Assist; Equipment Group 802A Luxury; Wheel Type; Moonroof; Premium Audio; Navigation; Apple CarPlay; Android Auto; Seat Material; Remote Engine Start; Climate Control; Blind Spot System; Backup Camera; Parking Sensors; Bluetooth; Tow Hitch; See less; GVWR: 7; 050 lbs Payload Package; 7 Speakers; AM/FM radio: SiriusXM; CD player; See all features,Yes,Premium (30K-60K),15.0,18.0,Premium,Other,kentucky,Unmatched,28.0,0,4.95,0.5951286090158976,32.95
2014,Ford,2014 Ford F-150 Xl Supercrew 5.5' Box 4Wd,14995,White,Gray,87082,Gas,14 city / 19 highway,Automatic Transmission,4Wd,5.0L V-8 Gas V,"Sacramento, Ca",17 days ago,1FTFW1EF6EFD12100,100347,Front Bumper Color - Silver; Pickup Bed Light; Rear Bumper Color - Silver; Tailgate - Removable; Door Handle Color - Black; Grille Color - Black; Grille Color - Black Surround; Mirror Color - Black; Door Sill Trim - Scuff Plate; Floor Material - Rubber/Vinyl; Front Air Conditioning; Front Air Conditioning Zones - Single; Ashtray; Capless Fuel Filler System; Cupholders - Front; Cupholders - Rear; Lighter Element; Multi-Function Remote - Keyless Entry; One-Touch Windows - 1; Overhead Console - Front; Power Outlet(S) - 12v Front; Power Outlet(S) - 12v Rear; Power Steering; Reading Lights - Front; Steering Wheel - Tilt; Storage - Cargo Tie-Down Anchors And Hooks; Storage - Door Pockets; Storage - Front Seatback; Vanity Mirrors - Passenger; 4wd Selector - Electronic Hi-Lo; Front Brake Type - Ventilated Disc; Front Shock Type - Gas; Front Spring Type - Coil; Front Struts; Front Suspension Type - Short And Long Arm; Hill Holder Control; Rear Brake Type - Ventilated Disc; Rear Shock Type - Gas; Rear Spring Type - Leaf; Trailer Stability Control; 4wd Type - Part Time; Abs - 4-Wheel; Axle Ratio - 3.55; Electronic Brakeforce Distribution; Front Brake Diameter - 13.8; Front Brake Width - 1.34; Front Stabilizer Bar; Front Suspension Classification - Independent; Rear Brake Diameter - 13.7; Rear Brake Width - 0.79; Rear Suspension Classification - Solid Live Axle; Rear Suspension Type - Multi-Leaf; Roll Stability Control; Stability Control; Traction Control; Battery - Maintenance-Free; Battery Rating - 750 Cca; Gauge - Tachometer; Warnings And Reminders - Maintenance Due; Antenna Type - Mast; Clock; Radio - Am/Fm; Warnings And Reminders - Low Fuel Level; Warnings And Reminders - Low Oil Level; Headlights - Halogen; Spare Tire Mount Location - Underbody; Spare Tire Size - Full-Size; Spare Wheel Type - Steel; Tire Type - All Terrain; Wheels - Steel; Tire Pressure Monitoring System; Wheel Locks - Spare Only; Tinted Glass; Front Wipers - Intermittent; Power Windows; Airbag Deactivation - Occupant Sensing Passenger; Anti-Theft System - Alarm; Anti-Theft System - Vehicle Immobilizer; Child Safety Door Locks; Child Seat Anchors - Latch System; Front Airbags - Dual; Impact Sensor - Post-Collision Safety System; Power Door Locks; Side Airbags - Front; Side Curtain Airbags - Front; Side Curtain Airbags - Rear; Side Mirror Adjustments - Power; Driver Seat Manual Adjustments; Front Headrests - 2; Front Headrests - Adjustable; Front Seat Type - 40-20-40 Split Bench; Front Seatbelts - 3-Point; Passenger Seat Manual Adjustments; Rear Headrests - 3; Rear Headrests - Retractable; Rear Seat Folding - Folds Up; Rear Seat Folding - Split; Rear Seat Type - 60-40 Split Bench; Rear Seatbelts - 3-Point; Seatbelt Force Limiters - Front; See less,No,Affordable (5K-15K),14.0,19.0,Affordable,White,california,california,17.0,3,39.712289142990144,0.3329487639445222,56.712289142990144
